type_path,type_name,good_price,brand_id,good_name,img_name,good_link,img_url
./品质女装,品质女装,52,1165680,光面无痕聚拢无钢圈上薄下厚文胸,光面无痕聚拢无钢圈上薄下厚文胸,http://www.vip.com/detail-1165680-240917684.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/05/26/16/3c7c87b7-f6be-4bc4-9dcc-b400ec16434b_235x297_90.jpg
./品质女装,品质女装,89,1490284,米白色刺绣心形V领长袖棉质T恤,米白色刺绣心形V领长袖棉质T恤,http://www.vip.com/detail-1490284-254254573.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2016/09/14/96/48d13699-ec7e-4494-bd33-72797615b595_235x297_90.jpg
./品质女装,品质女装,79,1330133,歌瑞尔水中墨画3条装甜美女士内裤,歌瑞尔水中墨画3条装甜美女士内裤,http://www.vip.com/detail-1330133-214334440.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/03/09/84/2dc5b354-1bd1-4296-bcf4-20aac7d058d5_235x297_90.jpg
./品质女装,品质女装,152,1490284,抽象花卉绣花肌理条纹袖蕾丝衫,抽象花卉绣花肌理条纹袖蕾丝衫,http://www.vip.com/detail-1490284-254254372.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/04/26/21/485b5f62-a44b-43a9-8115-8379e0dcd446_t_235x297_90.jpg
./品质女装,品质女装,59,1454203,女式四条装棉氨中腰内裤,女式四条装棉氨中腰内裤,http://www.vip.com/detail-1454203-248678306.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/108787/2017/0524/0/1450affe-5554-4cc0-9411-ad521ec2a8a2_235x297_90.jpg
./品质女装,品质女装,118,1532016,女款撞色圆领俏皮印花家居服套装,女款撞色圆领俏皮印花家居服套装,http://www.vip.com/detail-1532016-253425576.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/07/07/24/bc3b5b4d-16cd-4f20-8a60-378b7b6fe180_t_235x297_90.jpg
./品质女装,品质女装,299,1490284,拼接流苏喇叭袖镂空假两件连衣裙,拼接流苏喇叭袖镂空假两件连衣裙,http://www.vip.com/detail-1490284-254254234.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/05/17/165/7509e29a-bce4-441f-986b-96977370585a_t_235x297_90.jpg
./品质女装,品质女装,129,1524604,女款灰粉前胸字母绣花连帽卫衣,女款灰粉前胸字母绣花连帽卫衣,http://www.vip.com/detail-1524604-254383509.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2016/11/02/6/8a8944b5-567f-412e-97ea-e8c6f7837c39_235x297_90.jpg
./品质女装,品质女装,79,1504687,歌瑞尔甜美蕾丝性感舒适女士中腰平角内裤幽妮,歌瑞尔甜美蕾丝性感舒适女士中腰平角内裤幽妮,http://www.vip.com/detail-1504687-252576624.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/07/11/27/71c741a7-47ce-4c2a-8ee5-ae4ab6ece2f2_235x297_90.jpg
./品质女装,品质女装,199,1507957,格子茧型毛呢大衣,格子茧型毛呢大衣,http://www.vip.com/detail-1507957-252559921.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/01/11/181/70863787-33f2-4a9a-81b7-48cc7c7a3726_235x297_90.jpg
./品质女装,品质女装,69,1490297,街头宽松韩风破洞印花短袖T恤街头帅气破洞毛边剪破V领字母印花,街头宽松韩风破洞印花短袖T恤,http://www.vip.com/detail-1490297-252254212.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/04/21/36/31752734-4b2c-43ad-9abb-516b8d434b3a_235x297_90.jpg
./品质女装,品质女装,128,1490297,街头牛仔磨边修身中腰牛仔裤时尚百搭修身显瘦版型小脚裤,街头牛仔磨边修身中腰牛仔裤,http://www.vip.com/detail-1490297-252254401.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/04/11/95/636759b5-5dad-4847-be60-302be6b1c81b_235x297_90.jpg
./品质女装,品质女装,49,1503450,幸福羽翼光面前扣式隐形胸贴文胸,幸福羽翼光面前扣式隐形胸贴文胸,http://www.vip.com/detail-1503450-252065539.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/02/16/20/72056796-281a-4a7d-bdcc-a1c5083c9393_235x297_90.jpg
./品质女装,品质女装,129,1512269,【范玮琪同款】靛青蓝简约字母绣花开衫毛衣,【范玮琪同款】靛青蓝简约字母绣花开衫毛衣,http://www.vip.com/detail-1512269-253187207.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/101577/2017/0120/68/3b9ce490-a7e5-4305-b1ea-ce25cef483fc_t_235x297_90.jpg
./品质女装,品质女装,138,1503478,女式纯棉简约甜美短袖套装优质棉料，柔软舒适，亲肤透气，版型好看，好睡衣，才有好的睡眠,女式纯棉简约甜美短袖套装,http://www.vip.com/detail-1503478-253418430.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/108787/2017/0314/109/50b38842-fa7f-4ff1-b68e-ee993e498133_t_235x297_90.jpg
./品质女装,品质女装,129,1490284,连袖肩部绣花圆领短袖蕾丝衫,连袖肩部绣花圆领短袖蕾丝衫,http://www.vip.com/detail-1490284-254254421.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/04/10/147/c57e8b06-e611-48a3-96c3-44cc7eb733f3_t_235x297_90.jpg
./品质女装,品质女装,116,1490284,印花+绣花圆领落肩针织T恤,印花+绣花圆领落肩针织T恤,http://www.vip.com/detail-1490284-254254462.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/03/02/75/a637b9c2-d3c0-4cc0-a4db-f45241897d3c_t_235x297_90.jpg
./品质女装,品质女装,300,1521516,原创文艺中式立领改良旗袍撞色绣花连衣裙,原创文艺中式立领改良旗袍撞色绣花连衣裙,http://www.vip.com/detail-1521516-254276093.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/03/02/33/086a2bac-e75a-4ed8-b806-60f60bb259ea_t_235x297_90.jpg
